ctime,trigger_id,content,status

2023-11-02 23-12-37,7295168848,Inside a slightly messy bachelor apartment,True
2023-11-02 23-16-05,9154480076,Endless fog rolls outside the window,True
2023-11-02 23-16-34,1808638925,So dense it seems like the entire world has disappeared on the other side of the mist,True
2023-11-02 23-17-34,2901271935,Only the hazy daylight manages to penetrate the fog,True
2023-11-02 23-20-14,3071671088,Inside a slightly messy bachelor apartment,True
2023-11-02 23-20-43,5555450638,The clutter on the table has been forcefully pushed aside,True
2023-11-02 23-22-36,8487896266,As he,True
2023-11-02 23-24-01,9288576897,The situation remains unchanged - the fog blankets everything outside the window,True
2023-11-02 23-25-38,1264186602,The window is mysteriously sealed,True
2023-11-02 23-26-36,5364375984,There's no way to contact the outside world,True
2023-11-02 23-28-33,7881768896,Yet the electric light continues to shine,True
2023-11-02 23-29-56,8688426289,It's as if a faint breeze suddenly comes from the direction of the window,True
2023-11-02 23-31-34,3434793713,Zhou Ming,True
2023-11-02 23-32-34,4663687873,His weary eyes faintly light up,True
2023-11-02 23-34-33,6000045658,Outside the window,True
2023-11-02 23-35-41,5229545325,His gaze drifts to the windowsill,True
2023-11-02 23-37-36,1266207635,These tools bear the marks of his attempts to escape over the past few days,True
2023-11-02 23-39-00,3420654344,After a few seconds,True
2023-11-02 23-41-37,51857022,'I'm trapped,True
2023-11-02 23-43-52,3558948619,I even tried to dismantle the roof,True
2023-11-02 23-46-38,7849862887,Except for that door. But the situation outside that door is even more unsettling.,True
2023-11-02 23-49-54,1291744373,With this peculiar calmness,True
2023-11-02 23-45-53,8845647847,This room has become something like... as if it's been 'cast' together with the space,True
2023-11-02 23-45-23,8845647847,This room has become something like... as if it's been 'cast' together with the space,True
2023-11-02 23-44-53,8845647847,This room has become something like... as if it's been 'cast' together with the space,True
2023-11-03 00-06-46,7077827573,Endless fog rolls outside the window,True
2023-11-03 00-11-06,6990445118,Endless fog rolls outside the window,True
2023-11-03 00-11-43,8267242534,So dense it seems like the entire world has disappeared on the other side of the mist,True
2023-11-03 00-12-41,6118929412,"Only the hazy daylight manages to penetrate the fog, casting a semi-dark and semi-bright light into this quiet room",True
2023-11-03 00-14-39,7789277557,"Inside a slightly messy bachelor apartment, Zhou Ming is hunched over his desk",True
2023-11-03 00-15-17,7789277557,"Inside a slightly messy bachelor apartment, Zhou Ming is hunched over his desk",True
2023-11-03 00-15-41,3509495515,The clutter on the table has been forcefully pushed aside,True
2023-11-03 00-16-34,6990445118,Endless fog rolls outside the window,True
2023-11-03 00-17-41,5612051665,"As he, looking weary, diligently writes. It's the seventh day",True
